,LSOA2011,income score,employment score,"education, skills and training score",barriers to housing and services score
122,E01000126,0.243,0.152,13.21,51.181
123,E01000127,0.193,0.129,21.348,37.588
124,E01000128,0.171,0.103,22.529,34.708
125,E01000129,0.214,0.11,23.973,38.657
126,E01000130,0.185,0.118,19.118,43.475
127,E01000131,0.116,0.067,10.9,39.033
128,E01000132,0.187,0.106,22.698,35.397
129,E01000133,0.188,0.159,24.516,40.079
130,E01000134,0.184,0.093,20.26,42.152
131,E01000135,0.076,0.048,4.357,25.516
132,E01000136,0.037,0.02,0.946,27.615
133,E01000137,0.235,0.145,8.14,33.329
134,E01000138,0.178,0.127,8.449,35.73
135,E01000139,0.082,0.041,4.481,25.608
136,E01000140,0.118,0.078,9.457,30.188
137,E01000141,0.149,0.083,11.28,35.668
138,E01000142,0.126,0.077,8.856,30.865
139,E01000143,0.239,0.153,16.558,33.531
140,E01000144,0.102,0.082,8.328,31.107
141,E01000145,0.088,0.072,4.679,29.116
142,E01000146,0.103,0.089,4.798,34.561
143,E01000147,0.078,0.04,9.893,27.447
144,E01000148,0.186,0.115,15.794,43.166
145,E01000150,0.106,0.056,9.297,33.726
146,E01000151,0.332,0.191,18.815,40.945
147,E01000152,0.265,0.144,25.229,44.269
148,E01000153,0.276,0.173,36.066,49.389
149,E01000154,0.201,0.141,22.212,43.4
150,E01000155,0.135,0.062,12.175,39.038
151,E01000156,0.075,0.04,1.668,22.228
152,E01000157,0.089,0.054,10.386,24.93
153,E01000158,0.13,0.087,10.783,28.16
154,E01000159,0.112,0.077,4.883,32.939
155,E01000160,0.07,0.047,7.531,26.935
156,E01000161,0.109,0.055,3.782,27.508
157,E01000162,0.117,0.098,9.943,24.285
158,E01000163,0.2,0.145,13.328,38.055
159,E01000164,0.172,0.107,11.909,36.044
160,E01000165,0.099,0.05,5.196,35.632
161,E01000166,0.105,0.082,7.16,28.957
162,E01000167,0.199,0.125,22.649,33.883
163,E01000168,0.05,0.035,3.41,21.872
164,E01000169,0.086,0.063,4.871,25.427
165,E01000170,0.147,0.114,10.294,22.502
166,E01000171,0.196,0.105,12.3,26.487
167,E01000172,0.075,0.039,2.666,24.854
168,E01000173,0.081,0.05,5.844,19.649
169,E01000174,0.128,0.069,8.05,30.198
170,E01000175,0.052,0.047,2.159,22.205
171,E01000176,0.233,0.136,19.609,44.215
172,E01000177,0.055,0.026,4.627,22.96
173,E01000178,0.058,0.045,1.098,22.904
174,E01000179,0.064,0.036,2.024,24.92
175,E01000180,0.13,0.073,4.839,29.565
176,E01000181,0.058,0.039,0.31,20.819
177,E01000182,0.04,0.032,0.42,22.913
178,E01000183,0.085,0.047,1.885,30.174
179,E01000184,0.212,0.141,17.632,43.284
180,E01000185,0.239,0.128,12.502,32.704
181,E01000186,0.044,0.035,3.442,19.417
182,E01000187,0.118,0.063,7.661,27.997
183,E01000188,0.032,0.036,2.684,21.076
184,E01000189,0.149,0.091,25.611,38.504
185,E01000190,0.091,0.056,5.319,25.601
186,E01000191,0.055,0.048,1.76,22.059
187,E01000192,0.105,0.066,6.778,27.087
188,E01000193,0.09,0.071,7.965,28.912
189,E01000194,0.114,0.078,5.706,33.467
190,E01000195,0.177,0.109,23.459,47.051
191,E01000196,0.093,0.068,5.839,29.058
192,E01000197,0.086,0.056,1.749,26.823
193,E01000198,0.087,0.048,2.096,36.202
194,E01000199,0.056,0.036,1.162,27.064
195,E01000200,0.081,0.055,1.098,23.179
196,E01000201,0.041,0.034,0.774,20.134
197,E01000202,0.053,0.031,1.508,25.128
198,E01000203,0.114,0.072,5.763,36.786
199,E01000204,0.068,0.046,3.121,23.008
200,E01000205,0.053,0.035,1.073,22.867
201,E01000206,0.013,0.012,1.793,38.568
202,E01000207,0.042,0.035,2.896,22.612
203,E01000208,0.028,0.01,1.282,26.632
204,E01000209,0.048,0.035,0.414,23.561
205,E01000210,0.058,0.033,0.518,19.894
206,E01000211,0.112,0.072,3.225,30.399
207,E01000212,0.063,0.069,0.467,25.312
208,E01000213,0.028,0.025,1.321,30.621
209,E01000214,0.046,0.038,0.416,36.7
210,E01000215,0.103,0.062,6.101,30.762
211,E01000216,0.071,0.061,2.247,26.235
212,E01000217,0.066,0.056,9.331,24.166
213,E01000218,0.104,0.071,9.755,28.641
214,E01000219,0.097,0.093,14.667,34.545
215,E01000220,0.117,0.092,7.734,28.881
216,E01000221,0.28,0.186,23.471,55.984
217,E01000222,0.163,0.13,12.267,37.056
218,E01000223,0.225,0.142,21.168,47.877
219,E01000224,0.152,0.097,14.005,29.827
220,E01000225,0.066,0.054,6.55,28.248
221,E01000226,0.224,0.123,23.481,41.017
222,E01000227,0.082,0.052,4.644,29.152
223,E01000228,0.079,0.055,5.053,28.384
224,E01000229,0.135,0.108,11.185,43.196
225,E01000230,0.071,0.044,8.824,20.598
226,E01000231,0.103,0.063,4.325,46.81
227,E01000232,0.114,0.072,5.022,29.815
228,E01000233,0.069,0.054,4.009,22.349
229,E01000234,0.067,0.047,3.867,25.044
230,E01000235,0.164,0.101,18.521,31.954
231,E01000236,0.079,0.059,3.637,25.167
232,E01000237,0.055,0.036,1.569,26.964
233,E01000238,0.096,0.074,4.747,30.448
234,E01000239,0.137,0.077,6.545,50.079
235,E01000240,0.118,0.065,5.762,48.523
236,E01000241,0.071,0.04,1.467,34.775
237,E01000242,0.125,0.084,3.59,42.621
238,E01000243,0.084,0.053,4.629,30.061
239,E01000244,0.076,0.056,6.449,29.684
240,E01000245,0.168,0.119,11.778,31.387
241,E01000246,0.048,0.04,1.711,33.776
242,E01000247,0.077,0.066,2.68,28.98
243,E01000248,0.046,0.036,1.477,17.762
244,E01000249,0.026,0.044,1.17,21.352
245,E01000250,0.107,0.071,3.559,26.11
246,E01000251,0.144,0.114,7.175,24.873
247,E01000252,0.099,0.074,2.148,30.622
248,E01000253,0.043,0.032,3.48,36.662
249,E01000254,0.04,0.028,2.182,26.527
250,E01000255,0.149,0.097,6.712,30.356
251,E01000256,0.079,0.043,3.474,32.338
252,E01000257,0.168,0.119,17.095,38.645
253,E01000258,0.058,0.04,3.553,21.856
254,E01000259,0.095,0.066,3.908,30.248
255,E01000260,0.11,0.074,10.626,46.598
256,E01000261,0.046,0.029,1.12,35.954
257,E01000262,0.094,0.046,7.639,34.821
258,E01000263,0.024,0.024,1.201,27.802
259,E01000264,0.116,0.077,5.608,30.864
260,E01000265,0.126,0.08,6.251,28.433
261,E01000266,0.045,0.031,2.204,22.766
262,E01000267,0.086,0.057,2.451,33.384
263,E01000268,0.148,0.069,8.957,24.859
264,E01000269,0.067,0.047,5.73,27.931
265,E01000270,0.087,0.069,2.743,26.546
266,E01000271,0.041,0.034,2.069,29.726
267,E01000272,0.03,0.016,1.163,22.373
268,E01000273,0.121,0.083,3.636,25.776
269,E01000274,0.126,0.086,7.751,25.14
270,E01000275,0.118,0.063,3.017,36.715
271,E01000276,0.027,0.023,0.771,26.175
272,E01000277,0.144,0.106,4.07,36.343
273,E01000278,0.033,0.018,0.964,29.02
274,E01000279,0.017,0.017,1.781,37.898
275,E01000280,0.023,0.03,0.945,21.565
276,E01000281,0.081,0.059,6.189,26.224
277,E01000282,0.057,0.045,1.968,24.399
278,E01000283,0.03,0.019,0.596,28.055
279,E01000284,0.136,0.083,5.239,26.898
280,E01000285,0.105,0.082,8.337,27.112
281,E01000286,0.17,0.119,11.092,31.405
282,E01000287,0.16,0.104,21.677,30.131
283,E01000288,0.091,0.065,8.012,27.921
284,E01000289,0.249,0.17,28.383,51.981
285,E01000290,0.12,0.098,10.938,38.416
286,E01000291,0.23,0.166,25.657,38.957
287,E01000292,0.079,0.077,3.672,20.499
288,E01000293,0.06,0.044,1.381,18.942
289,E01000294,0.093,0.086,2.224,25.006
290,E01000295,0.06,0.056,1.118,25.781
291,E01000296,0.085,0.053,4.316,28.689
292,E01000297,0.074,0.044,7.204,24.197
293,E01000298,0.094,0.046,1.708,26.444
294,E01000299,0.119,0.06,2.994,26.429
295,E01000300,0.097,0.059,3.089,27.881
296,E01000301,0.048,0.048,1.066,21.836
297,E01000302,0.129,0.086,6.762,28.26
298,E01000303,0.05,0.032,1.124,31.613
299,E01000304,0.087,0.06,4.188,36.709
300,E01000305,0.164,0.117,15.048,45.441
301,E01000306,0.075,0.044,13.002,32.814
302,E01000307,0.147,0.081,18.495,35.276
303,E01000308,0.204,0.109,25.938,42.403
304,E01000309,0.09,0.059,3.428,36.538
305,E01000310,0.108,0.064,14.199,41.658
306,E01000311,0.043,0.053,1.966,26.841
307,E01000312,0.151,0.096,9.643,54.472
308,E01000313,0.115,0.076,11.933,40.221
309,E01000314,0.055,0.035,2.835,29.239
310,E01000315,0.239,0.163,23.302,34.64
311,E01000316,0.138,0.079,3.672,33.719
312,E01000317,0.098,0.054,2.406,25.353
313,E01000318,0.12,0.056,3.402,25.899
314,E01000319,0.076,0.046,1.877,24.253
315,E01000320,0.077,0.039,1.303,28.257
316,E01000321,0.104,0.077,4.408,25.102
317,E01000322,0.124,0.078,2.411,27.666
318,E01000323,0.118,0.078,4.866,27.802
319,E01000324,0.094,0.075,4.525,24.585
320,E01000325,0.039,0.035,11.501,18.379
321,E01000326,0.053,0.038,16.265,32.998
322,E01000327,0.043,0.045,11.786,19.191
323,E01000328,0.05,0.049,17.211,20.362
324,E01000329,0.097,0.075,20.584,23.933
325,E01000330,0.112,0.087,13.023,24.574
326,E01000331,0.151,0.137,33.267,36.033
327,E01000332,0.106,0.078,16.749,20.316
328,E01000333,0.167,0.126,34.467,23.342
329,E01000334,0.08,0.063,20.914,27.128
330,E01000335,0.16,0.095,37.431,50.822
331,E01000336,0.222,0.137,24.927,38.468
332,E01000337,0.165,0.093,15.541,26.767
333,E01000338,0.123,0.07,17.74,26.9
334,E01000339,0.109,0.099,23.223,16.828
335,E01000340,0.074,0.044,19.776,27.236
336,E01000341,0.062,0.057,14.854,15.877
337,E01000342,0.035,0.041,17.66,21.444
338,E01000343,0.055,0.049,15.982,15.963
339,E01000344,0.034,0.042,12.306,15.548
340,E01000345,0.041,0.033,12.598,16.663
341,E01000346,0.053,0.051,15.303,14.693
342,E01000347,0.077,0.04,22.953,19.19
343,E01000348,0.02,0.032,12.641,17.301
344,E01000349,0.048,0.034,9.743,27.531
345,E01000350,0.046,0.034,17.944,18.184
346,E01000351,0.05,0.039,16.4,22.757
347,E01000352,0.099,0.061,21.656,24.688
348,E01000353,0.046,0.034,9.686,11.135
349,E01000354,0.143,0.123,23.867,23.683
350,E01000355,0.039,0.047,16.778,18.053
351,E01000356,0.052,0.063,12.733,12.146
352,E01000357,0.02,0.027,11.965,11.932
353,E01000358,0.046,0.039,12.017,15.424
354,E01000359,0.044,0.041,10.117,18.998
355,E01000360,0.109,0.08,7.884,26.11
356,E01000361,0.075,0.062,13.448,23.02
357,E01000362,0.074,0.056,13.386,22.3
358,E01000363,0.057,0.054,9.685,21.287
359,E01000364,0.073,0.054,12.906,29.325
360,E01000365,0.092,0.06,9.92,21.687
361,E01000366,0.087,0.055,8.745,17.292
362,E01000367,0.205,0.165,36.267,33.023
363,E01000368,0.237,0.16,44.364,37.57
364,E01000369,0.098,0.082,21.126,17.199
365,E01000370,0.074,0.072,14.165,21.068
366,E01000371,0.053,0.039,13.957,23.936
367,E01000372,0.197,0.164,30.801,26.36
368,E01000373,0.135,0.106,37.08,46.339
369,E01000374,0.241,0.205,48.486,37.794
370,E01000375,0.112,0.085,26.088,20.731
371,E01000376,0.083,0.058,17.181,21.867
372,E01000377,0.064,0.071,16.399,23.725
373,E01000378,0.123,0.095,21.688,30.105
374,E01000379,0.122,0.075,23.517,24.86
375,E01000380,0.134,0.087,30.464,47.069
376,E01000381,0.149,0.129,27.77,44.107
377,E01000382,0.033,0.037,6.073,29.39
378,E01000383,0.101,0.085,19.715,33.052
379,E01000384,0.096,0.053,9.625,22.275
380,E01000385,0.22,0.136,32.616,34.66
381,E01000386,0.253,0.195,40.72,36.791
382,E01000387,0.066,0.067,10.449,33.06
383,E01000388,0.07,0.056,13.402,16.66
384,E01000389,0.082,0.057,11.196,24.705
385,E01000390,0.056,0.044,14.297,22.19
386,E01000391,0.085,0.068,22.158,22.714
387,E01000392,0.154,0.092,23.61,31.201
388,E01000393,0.046,0.039,10.425,19.378
389,E01000394,0.075,0.052,7.925,21.591
390,E01000395,0.031,0.03,9.871,17.101
391,E01000396,0.046,0.038,12.869,20.97
392,E01000398,0.119,0.106,33.033,27.601
393,E01000399,0.047,0.043,20.401,20.766
394,E01000400,0.093,0.09,17.028,17.692
395,E01000401,0.14,0.097,26.036,25.536
396,E01000402,0.159,0.106,21.148,33.431
397,E01000403,0.198,0.123,22.344,33.367
398,E01000404,0.22,0.126,23.039,37.505
399,E01000405,0.175,0.113,21.194,39.923
400,E01000406,0.15,0.084,20.805,33.11
401,E01000407,0.096,0.069,19.482,20.98
402,E01000408,0.18,0.102,22.216,22.572
403,E01000409,0.036,0.039,17.739,15.839
404,E01000410,0.034,0.031,15.232,20.11
405,E01000411,0.055,0.045,18.064,18.704
406,E01000412,0.037,0.037,13.642,28.195
407,E01000413,0.061,0.048,23.404,20.965
408,E01000414,0.092,0.052,12.568,20.599
409,E01000415,0.039,0.035,14.993,14.663
410,E01000416,0.168,0.11,16.656,32.585
411,E01000417,0.112,0.083,17.267,35.737
412,E01000418,0.133,0.061,18.214,37.213
413,E01000419,0.049,0.045,12.155,23.046
414,E01000420,0.073,0.061,22.13,18.607
415,E01000421,0.04,0.049,9.262,21.332
416,E01000422,0.277,0.159,21.499,42.826
417,E01000423,0.042,0.037,10.341,16.025
418,E01000424,0.04,0.032,4.241,17.836
419,E01000425,0.041,0.039,8.465,23.716
420,E01000426,0.077,0.042,11.211,23.027
421,E01000427,0.086,0.072,12.821,27.715
422,E01000428,0.153,0.094,20.885,34.46
423,E01000429,0.257,0.187,30.708,49.187
424,E01000430,0.128,0.081,14.003,34.21
425,E01000431,0.256,0.161,30.508,40.702
426,E01000432,0.165,0.111,27.648,29.349
427,E01000433,0.224,0.162,28.709,36.153
428,E01000434,0.239,0.18,52.524,34.138
429,E01000435,0.205,0.123,32.203,41.706
430,E01000436,0.037,0.039,13.009,13.039
431,E01000437,0.089,0.066,19.26,20.571
432,E01000438,0.09,0.056,23.391,20.997
433,E01000439,0.157,0.116,28.584,20.007
434,E01000440,0.037,0.046,20.482,16.176
435,E01000441,0.215,0.136,31.82,25.151
436,E01000442,0.093,0.078,22.117,21.88
437,E01000443,0.1,0.1,17.594,26.372
438,E01000444,0.029,0.043,5.754,26.486
439,E01000445,0.032,0.031,11.348,22.305
440,E01000446,0.037,0.035,12.405,15.506
441,E01000447,0.071,0.047,6.153,19.879
442,E01000448,0.026,0.028,3.883,13.282
443,E01000449,0.028,0.034,4.298,15.363
444,E01000450,0.123,0.103,19.042,25.716
445,E01000451,0.043,0.038,17.165,18.542
446,E01000452,0.056,0.042,14.166,15.224
447,E01000453,0.052,0.041,19.152,14.788
448,E01000454,0.116,0.09,23.051,22.405
449,E01000455,0.049,0.043,15.974,16.22
450,E01000456,0.039,0.041,12.419,16.809
451,E01000457,0.081,0.049,13.122,24.27
452,E01000458,0.046,0.032,4.795,23.137
453,E01000459,0.121,0.077,10.295,23.98
454,E01000460,0.034,0.031,8.071,24.722
455,E01000461,0.037,0.035,8.647,27.514
456,E01000462,0.101,0.06,13.872,23.096
457,E01000463,0.035,0.035,9.061,15.812
458,E01000464,0.215,0.117,18.513,35.396
459,E01000465,0.225,0.137,26.542,35.338
460,E01000466,0.183,0.115,18.835,36.332
461,E01000467,0.157,0.084,14.14,31.952
462,E01000468,0.158,0.074,5.808,50.582
463,E01000469,0.143,0.086,10.345,35.858
464,E01000470,0.241,0.176,26.159,45.243
465,E01000471,0.097,0.07,22.598,49.84
466,E01000472,0.143,0.055,12.33,48.046
467,E01000473,0.145,0.085,27.046,46.265
468,E01000474,0.121,0.076,28.272,46.983
469,E01000475,0.124,0.068,13.258,53.276
470,E01000476,0.098,0.058,28.684,38.157
471,E01000477,0.11,0.061,30.81,52.686
472,E01000478,0.134,0.064,21.904,45.058
473,E01000479,0.106,0.07,7.354,34.914
474,E01000480,0.072,0.045,3.875,29.622
475,E01000481,0.169,0.117,6.912,54.349
476,E01000482,0.229,0.15,13.984,45.676
477,E01000483,0.233,0.144,21.164,45.991
478,E01000484,0.264,0.178,22.619,56.541
479,E01000485,0.205,0.1,17.394,45.94
480,E01000486,0.086,0.057,7.505,40.994
481,E01000487,0.123,0.068,7.192,40.432
482,E01000488,0.134,0.081,14.776,44.202
483,E01000489,0.173,0.081,5.678,32.497
484,E01000490,0.13,0.083,10.234,41.181
485,E01000491,0.133,0.089,9.526,39.773
486,E01000492,0.085,0.055,2.874,29.816
487,E01000493,0.083,0.058,3.441,26.481
488,E01000494,0.142,0.071,4.003,41.963
489,E01000495,0.213,0.123,9.041,45.352
490,E01000497,0.161,0.106,13.47,38.841
491,E01000498,0.187,0.112,32.814,46.349
492,E01000499,0.188,0.095,24.338,41.652
493,E01000501,0.255,0.159,16.423,48.748
494,E01000502,0.221,0.123,12.641,41.031
495,E01000503,0.166,0.129,14.319,44.218
496,E01000504,0.12,0.094,8.118,39.522
497,E01000505,0.135,0.081,10.765,42.184
498,E01000506,0.186,0.108,24.496,43.755
499,E01000507,0.148,0.088,10.174,41.377
500,E01000508,0.245,0.174,30.342,45.936
501,E01000509,0.171,0.112,29.7,41.197
502,E01000510,0.17,0.092,19.895,42.445
503,E01000511,0.16,0.099,16.599,43.828
504,E01000512,0.105,0.056,5.32,38.412
505,E01000513,0.099,0.041,16.48,33.44
506,E01000514,0.083,0.048,8.404,39.568
507,E01000515,0.174,0.097,16.035,48.772
508,E01000516,0.106,0.068,15.766,36.466
509,E01000517,0.066,0.032,7.125,33.35
510,E01000518,0.154,0.091,14.169,44.541
511,E01000519,0.139,0.074,9.795,42.652
512,E01000520,0.113,0.074,13.058,42.353
513,E01000521,0.318,0.231,31.536,50.192
514,E01000522,0.216,0.13,21.356,48.436
515,E01000523,0.181,0.117,35.891,36.516
516,E01000524,0.274,0.192,30.782,39.809
517,E01000525,0.216,0.14,25.254,37.901
518,E01000526,0.299,0.206,23.043,46.846
519,E01000527,0.185,0.15,26.326,43.218
520,E01000528,0.293,0.208,19.59,50.876
521,E01000530,0.097,0.075,4.278,28.374
522,E01000531,0.18,0.112,10.55,38.682
523,E01000532,0.119,0.088,14.257,43.475
524,E01000533,0.231,0.162,23.619,39.707
525,E01000534,0.12,0.085,7.846,32.896
526,E01000535,0.152,0.103,13.27,35.514
527,E01000536,0.08,0.052,2.175,33.244
528,E01000538,0.067,0.038,2.006,30.649
529,E01000539,0.058,0.037,2.877,32.597
530,E01000540,0.07,0.058,2.461,30.557
531,E01000541,0.103,0.042,4.56,41.32
532,E01000543,0.13,0.075,9.764,40.929
533,E01000544,0.248,0.156,11.462,42.279
534,E01000545,0.169,0.106,11.695,39.388
535,E01000546,0.145,0.104,7.703,37.555
536,E01000547,0.144,0.083,9.603,36.843
537,E01000548,0.203,0.115,9.389,43.175
538,E01000549,0.11,0.081,4.256,32.705
539,E01000550,0.239,0.156,13.537,33.062
540,E01000551,0.322,0.213,19.577,40.585
541,E01000552,0.313,0.189,24.252,42.316
542,E01000553,0.158,0.109,16.445,43.593
543,E01000554,0.145,0.087,15.32,36.707
544,E01000555,0.097,0.059,5.356,35.161
545,E01000556,0.165,0.096,16.061,43.394
546,E01000557,0.14,0.099,7.319,38.33
547,E01000558,0.149,0.121,6.653,37.942
548,E01000559,0.145,0.085,5.836,37.806
549,E01000560,0.102,0.082,6.317,37.942
550,E01000561,0.154,0.108,4.909,40.958
551,E01000562,0.091,0.047,3.426,30.915
552,E01000563,0.061,0.045,1.953,25.352
553,E01000564,0.111,0.061,11.194,45.117
554,E01000565,0.182,0.109,13.906,38.353
555,E01000566,0.084,0.046,9.367,40.712
556,E01000567,0.124,0.072,7.053,38.417
557,E01000568,0.034,0.021,3.604,69.884
558,E01000569,0.078,0.032,3.771,30.919
559,E01000570,0.121,0.094,15.966,52.435
560,E01000571,0.128,0.095,9.079,35.957
561,E01000572,0.093,0.043,6.295,38.957
562,E01000573,0.098,0.045,6.149,33.536
563,E01000574,0.066,0.041,6.572,34.711
564,E01000575,0.081,0.043,8.469,44.296
565,E01000576,0.099,0.066,7.746,35.147
566,E01000577,0.224,0.132,17.573,59.548
567,E01000578,0.183,0.128,11.311,43.665
568,E01000579,0.17,0.12,6.955,41.854
569,E01000580,0.136,0.089,4.666,27.207
570,E01000581,0.106,0.061,3.439,28.795
571,E01000582,0.087,0.051,3.994,26.848
572,E01000583,0.105,0.091,3.402,36.034
573,E01000584,0.094,0.071,6.488,27.385
574,E01000585,0.1,0.056,4.685,31.395
575,E01000586,0.125,0.089,8.761,40.41
576,E01000587,0.108,0.052,15.894,33.444
577,E01000588,0.182,0.108,16.824,40.373
578,E01000589,0.114,0.077,15.004,41.04
579,E01000590,0.136,0.083,7.512,33.881
580,E01000591,0.096,0.058,12.307,44.99
581,E01000592,0.124,0.076,11.714,37.93
582,E01000593,0.143,0.077,10.562,42.723
583,E01000594,0.106,0.041,10.621,43.908
584,E01000595,0.243,0.19,34.907,54.659
585,E01000596,0.274,0.186,34.635,58.742
586,E01000599,0.338,0.217,17.349,51.216
587,E01000600,0.171,0.143,26.212,56.302
588,E01000601,0.358,0.226,36.348,55.161
589,E01000602,0.253,0.176,24.138,66.566
590,E01000603,0.27,0.169,23.961,51.421
591,E01000604,0.289,0.184,24.845,70.456
592,E01000605,0.273,0.195,30.801,55.891
593,E01000606,0.12,0.075,10.674,39.94
594,E01000607,0.112,0.061,9.265,50.107
595,E01000608,0.127,0.058,9.761,47.001
596,E01000609,0.121,0.065,13.937,46.667
597,E01000610,0.137,0.085,15.061,51.266
598,E01000611,0.127,0.086,13.391,46.422
599,E01000612,0.162,0.071,11.485,46.196
600,E01000613,0.154,0.09,12.281,56.826
601,E01000615,0.102,0.058,12.751,57.715
602,E01000616,0.107,0.068,10.26,45.892
603,E01000617,0.128,0.075,14.295,42.688
604,E01000618,0.137,0.089,17.419,40.421
